Suite, Main-Scenario, Sub-Scenario, Test, Parameter, Status
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating multiple media channels with Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for converted SSON ANSI Network and  Check corresponding TXPs and pluggables"- "Row_523"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for SSON ETSI Network and  Check corresponding TXPs and pluggables"- "Row_585"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Different Wavelength Forcing  for different Traffic Type and analyze the network for SSON"- "Row_633"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with encryption on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for Non SSON ANSI Network"- "Row_669"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with encryption on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-STM64-OTU4-40GE with Auto card Type and analyze the network for Non SSON ETSI Network"- "Row_679"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with forcast on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for Non SSON ANSI Network"- "Row_689"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Forcast on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-STM64-OTU4-40GE with Auto card Type and analyze the network for Non SSON ETSI Network"- "Row_699"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with encryption on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for SSON ANSI Network"- "Row_709"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with encryption on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-STM64-OTU4-40GE with Auto card Type and analyze the network for SSON ETSI Network"- "Row_719"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with forcast on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for SSON ANSI Network"- "Row_737"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with Forcast on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-STM64-OTU4-40GE with Auto card Type and analyze the network for SSON ETSI Network"- "Row_747"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with 5 Forcast and 5 Encryption on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-STM64-OTU4-40GE with Auto card Type and analyze the network for SSON ETSI Network"- "Row_757"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10 Service Demand with 5 forcast and 5 Encryption on Traffic Type 100GE-10GE-OTU2- OTU2e-FC-16G-FC-10G-FC-8G-OC-192-OTU4-40GE with Auto card Type and analyze the network for Non SSON ANSI Network"- "Row_767"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 12 Service Demand 100G-LC-C  Titano card 10 with Forecast and 2 with Present check in the BOM only 2 card PID should be Present"- "Row_777"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 12 Forecast Service Demand 100G-LC-C  Titano card and check all Report card PID should not be Present"- "Row_789"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 24 Service Demand 100G-CK-LC-C Titano2 20 with Forecast and 4 with Present check in the BOM only 4 card PID should be Present and check all Report"- "Row_797"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 24 Forecast Service Demand 100G-CK-LC-C Titano2 card and check all Report card PID should not be Present"- "Row_815"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 20 Service Demand 100GS-CK-LC Titano3 16 with Forecast and 4 with Present check in the BOM only 4 card PID should be Present and check all Report"- "Row_823"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 20 Forecast Service Demand 100GS-CK-LC Titano3 card and check all Report card PID should not be Present"- "Row_840"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 24 Service Demand 200G-CK-LC Titano3B card 20 with Forecast and 4 with Present check in the BOM only 2 card PID should be Present and check all Report"- "Row_848"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 24 Forecast Service Demand 200G-CK-LC Titano3B and check all Report card PID should not be Present"- "Row_866"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 20 Service Demand 100GS-CK-LC Titano3 16 with Forecast and 4 with Present check in the BOM only 4 card PID should be Present and check all Report"- "Row_874"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 20 Forecast Service Demand 100GS-CK-LC Titano3 card and check all Report card PID should not be Present"- "Row_896"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 24 Service Demand 200G-CK-LC Titano3B card 20 with Forecast and 4 with Present check in the BOM only 4 card PID should be Present and check all Report"- "Row_905"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 24 Forecast Service Demand 200G-CK-LC Titano3B and check all Report card PID should not be Present"- "Row_928"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 400G-XP-LC-w/SD_FEC25-NO_DE and FEC15-NO_DE\n with relvent Plugable forced on all the Traffic Type with Forcing Path of wave and wavelength forcing"- "Row_937"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100G-LC-C  Titano card on the w/FEC-w/EFEC-w/HG-FEC with relvent Plugable forced on 100GE and OTU4 Traffic Type with Forcing Path of wave and wavelength forcing with Trunk Auto"- "Row_1056"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100G-CK-LC-C Titano2 card on the w/FEC-w/EFEC-w/HG-FEC with relvent Plugable forced on 100GE-40GE and OTU4 Traffic Type with Forcing Path of wave and wavelength forcing with Trunk Auto"- "Row_1093"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100GS-CK-LC Titano3 card on the w/FEC-w/EFEC-w/SD-FEC_20 with relvent Plugable forced on 100GE Traffic Type with Forcing Path of wave and wavelength forcing with Trunk Auto-100G"- "Row_1139"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 200G-CK-LC Titano3B card on the w/FEC-w/EFEC-w/SD-FEC_20 relvent Plugable forced on 100GE and OTU4 Traffic Type with Forcing Path of wave and wavelength forcing with Trunk Auto-100G"- "Row_1159"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100G-LC-C with Compatable card at Destnation site it should list only 200G-CK-LC(100G mode only)-FEC-100G-CK-LC-C-100GS-CK-LC-100G-LC-C analyze the network and check the TM report"- "Row_1192"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100G-LC-C with Compatable card at Destnation site it should list only 200G-CK-LC(100G mode only)-FEC-100G-CK-LC-C-100GS-CK-LC analyze the network and check the TM report"- "Row_1231"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100GS-CK-LC with Compatable card at Destnation site it should list only 200G-CK-LC(100G mode only)-FEC-100G-CK-LC-C-100GS-CK-LC-100G-LC-C  analyze the network and check the TM report"- "Row_1269"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 200G-CK-LC(100G mode only)- with Compatable card at Destnation site it should list only 200G-CK-LC(100G mode only)-FEC-100G-CK-LC-C-100GS-CK-LC-100G-LC-C analyze the network and check the TM report"- "Row_1307"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 2  100GE Traffic Type Demand with  400G-XP-LC forcing of 100G Trunk and check TM Report it should route to the two different 11 and 12 trunk check in TM Report"- "Row_1344"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating OC192-OTU2-OTU2e-Fiber Channel10G and 100GE with Trunk Forcing 200G in 400G-XP-LC card it should route to the 11 trunk check in TM Report"- "Row_1358"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10GE- 40GE-OTU4 with Trunk Forcing 100G and Fiber 10G-Fiber 16G-OC192 with Trunk Forcing 200G in 400G-XP-LC card it should route to the 1st card 11 trunk(OTU4) 12trunk (10G-40G) and 2nd card 11trunk(10G-16G-OC192) check in TM Report"- "Row_1375"- "Txp"- "TestFramework"- "GMPO-ALL" , passed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 400G-XP-LC-w/SD_FEC25-NO_DE and FEC15-NO_DE\n with relvent Plugable forced on all the Traffic Type with Forcing Path of wave and wavelength forcing"- "Row_1394"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100GS-CK-LC Titano3 card on the w/SD-FEC_20 with relvent Plugable forced on 100GE Traffic Type with Forcing Path of wave and wavelength forcing with Trunk Auto-100G"- "Row_1520"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 200G-CK-LC Titano3B card on the w/SD-FEC_20 relvent Plugable forced on 100GE and OTU4 Traffic Type with Forcing Path of wave and wavelength forcing with Trunk Auto"- "Row_1536"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 100GS-CK-LC with Compatable card at Destnation site it should list only 200G-CK-LC(100G mode only)-FE  analyze the network and check the TM report"- "Row_1558"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating Service Demand 200G-CK-LC(100G mode only)- with Compatable card at Destnation site it should list only 100GS-CK-LCanalyze the network and check the TM report"- "Row_1570"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 3 OTU4 Traffic Type Demand with  400G-XP-LC forcing of 100G Trunk and check TM Report it should route to the two different 11 and 12 trunk in 1 st card and 2nd card it should take 11 trunk check in TM Report"- "Row_1583"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with Auto cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 10GE- 40GE-OTU4 with Trunk Forcing 100G and Fiber 10G-Fiber 16G-OC192 with Trunk Forcing 200G in 400G-XP-LC card it should route to the 1st card 11 trunk(OTU4) 12trunk (10G-40G) and 2nd card 11trunk(10G-16G-OC192) check in TM Report"- "Row_1600"- "Txp"- "TestFramework"- "GMPO-ALL" , failed
Transponder Test Suite, Test with combination cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 1 Demand 100GE with Txp 200G-CK+MR-MXP (200G MXP mode) and analyze the network and verify BOM-Optical-TM-Generate Per Side ANS-Generate ANS-IC"- "Row_2"- "Txp"- "TestFramework"- "GMPO-4116" , passed
Transponder Test Suite, Test with combination cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 2 Demand 100GE and OTU4 with Txp 200G-CK+MR-MXP (200G MXP mode) and analyze the network and verify BOM-Optical-TM-Generate Per Side ANS-Generate ANS-IC"- "Row_12"- "Txp"- "TestFramework"- "GMPO-4116" , passed
Transponder Test Suite, Test with combination cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 2 Demand 100GE(P) and OTU4(F) with Txp 200G-CK+MR-MXP (200G MXP mode) and analyze the network and verify BOM-Optical-TM-Generate Per Side ANS-Generate ANS-IC"- "Row_23"- "Txp"- "TestFramework"- "GMPO-4116" , passed
Transponder Test Suite, Test with combination cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 3 Demand 100GE(3) with Txp 200G-CK+MR-MXP (200G MXP mode) with network Client Payg Disabled and analyze the network and verify BOM-Optical-TM-Generate Per Side ANS-Generate ANS-IC"- "Row_31"- "Txp"- "TestFramework"- "GMPO-4116" , passed
Transponder Test Suite, Test with combination cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 3 Demand 100GE Txp 200G-CK-LC+MR-MXP (100G TXP mode) -w/SD-FEC_20 with all Different Plugable forced and analyze the network and verify BOM-Optical-TM-Generate Per Side ANS-Generate ANS-IC"- "Row_44"- "Txp"- "TestFramework"- "GMPO-4116" , passed
Transponder Test Suite, Test with combination cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 3 Demand 100GE(2P 1F) Txp 200G-CK-LC+MR-MXP (100G TXP mode) -w/SD-FEC_20 with all Different Plugable forced and analyze the network and verify BOM-Optical-TM-Generate Per Side ANS-Generate ANS-IC"- "Row_60"- "Txp"- "TestFramework"- "GMPO-4116" , passed
Transponder Test Suite, Test with combination cards, genericTestGenerator.GMPOAuto, Verify,  "Verify creating 3 Demand 10G-OC192-OTU2 Txp200G-CK-LC+MR-MXP (100G MXP mode) -w/SD-FEC_20 with all Different Plugable forced and analyze the network and verify BOM-Optical-TM-Generate Per Side ANS-Generate ANS-IC"- "Row_73"- "Txp"- "TestFramework"- "GMPO-4116" , passed
